Organization Name,Organization Name URL,Headquarters Location,Description,CB Rank (Company),Contact Email,Phone Number,Full Description,LinkedIn,Facebook,Twitter,Website,Company Type,Founders,Number of Employees,Headquarters Regions,Industries,Diversity Spotlight (US Only),Number of Articles,Hub Tags,SEMrush - Monthly Visits,SEMrush - Global Traffic Rank,Industry Groups,Estimated Revenue Range,SEMrush - Monthly Visits Growth,BuiltWith - Active Tech Count,Apptopia - Number of Apps,Number of Founders,Founded Date,Founded Date Precision,Operating Status,Investor Type,Investment Stage,Number of Investments,Number of Portfolio Organizations,Number of Lead Investments,Funding Status,Number of Funding Rounds,Last Funding Date,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Last Equity Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Funding Type,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Price,Price Currency,Price Currency (in USD),Acquisition Type,Acquisition Terms,Stock Symbol,Stock Symbol URL,Stock Exchange,Last Leadership Hiring Date,Number of Events,SEMrush - Monthly Rank Growth,SEMrush - Page Views / Visit,Apptopia - Downloads Last 30 Days,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD)
DMARC360,https://www.crunchbase.com/organization/dmarc360,"Manama, Al Manamah, Bahrain","An email security intelligence platform providing assisted DMARC implementation, global threat intel & automated recommendations.","532,338",info@dmarc360.com,00 973 77 360 360,"DMARC360 aims to solve the fundamental flaw in email security and builds business and operational processes to ensure ongoing DMARC compliance across, gaining unprecedented visibility into senders, vendors & operators.",https://www.linkedin.com/company/dmarc360/,https://www.facebook.com/dmarc360/,https://twitter.com/dmarc360,https://www.dmarc360.com,For Profit,Mirza Asrar Baig,1-10,Gulf Cooperation Council (GCC),"Information Technology, Security",,8,,36,"6,749,193","Information Technology, Privacy and Security",,,16,,1,2018-01-01,day,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,
Abdulaal Group,https://www.crunchbase.com/organization/abdulaal-group,"Manama, Al Manamah, Bahrain","Technology group in the Middle East, with investments in the Telecom, security and Industrial sectors.","540,006",info@abdulaal.net,+97313309999,"Abdulaal Group has situated itself as the forefront technology group in the Middle East, with investments in the Telecom, security, and Industrial sectors.",https://www.linkedin.com/company/abdulaal,,,http://www.abdulaal.net,For Profit,Hussain Abdulaal,11-50,Gulf Cooperation Council (GCC),"Angel Investment, Industrial, Information Technology, Telecommunications",,,,,,"Financial Services, Hardware, Information Technology, Lending and Investments, Manufacturing",,,18,,1,1995-01-01,day,Active,"Angel Group, Family Investment Office","Early Stage Venture, Private Equity, Seed",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al Zain Jewellery,https://www.crunchbase.com/organization/al-zain-jewellery,"Manama, Al Manamah, Bahrain","Al Zain Jewellery is a well-known designer, manufacturer, and retailer of high-end and low-cost diamond gold Jewellery .","555,261",alzain@alzainjewellery.com,+973 1721 2444,,https://www.linkedin.com/company/alzainjewellery/,https://www.facebook.com/Alzainjewellery1930/,https://www.twitter.com/AlZainJewellery,https://www.alzainjewellery.com,For Profit,,101-250,Gulf Cooperation Council (GCC),Jewelry,,,,27,"6,782,554",Consumer Goods,$1M to $10M,-96.73%,68,,,1930-01-01,year,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.44%,4,,,,,,,
Autarky Advisors,https://www.crunchbase.com/organization/autarky-advisors,"Sitrah, Sitrah, Bahrain",Autarky Advisors is a venture builder and proprietary investment and advisory company based in Bahrain.,"579,711",,,Autarky Advisors is a venture builder and proprietary investment and advisory company based in Bahrain.,,,,https://www.autarkyadvisors.com/,For Profit,,,Gulf Cooperation Council (GCC),Banking,,,,,,"Financial Services, Lending and Investments",,,,,,,,Active,Investment Bank,,,,,M&A,,,,,,,,,,,,,,,,,,,,,Was Acquired,Autarky Advisors acquired by Shorooq Partners,https://www.crunchbase.com/acquisition/shorooq-partners-acquires-autarky-advisors--7be1ca40,Shorooq Partners,https://www.crunchbase.com/organization/shorooq-partners,,,,Acquisition,,,,,,,,,,,,,,,
Noon Help,https://www.crunchbase.com/organization/noon-help,"Manama, Al Manamah, Bahrain",Noonhelp is an Arabic digital intermediary platform between service providers and clients that offers academic & advisory services remotely.,"579,774",Support@Noonhelp.com,+973 3416 7951,,https://www.linkedin.com/company/noonhelp/,https://www.facebook.com/NoonHelp/,https://twitter.com/noonhelp,https://www.noonhelp.com/en/home,For Profit,,,Gulf Cooperation Council (GCC),"E-Learning, Education, Tutoring",,,,,,"Education, Software",,,22,,,2019-01-01,year,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK Information Technology,https://www.crunchbase.com/organization/ak-information-technology,"Manama, Al Manamah, Bahrain",AK Information technology is one among the leading IT company in Bahrain. Established in 2005 we offers many IT related services.,"584,464",akitinfo5@gmail.com,97317210848,"AK Information technology is one among the leading IT company in Bahrain. Established in 2005 we offers many IT related services Website designing, Web development, Web application development, SEO, Online marketing, Digital marketing, Social media marketing, Web hosting, Google Ads, Mobile App Development and Email Marketing. For more info - http://akit.me",,https://www.facebook.com/AKInformationTechnology/,https://twitter.com/akitbahrain,http://akit.me,For Profit,,11-50,Gulf Cooperation Council (GCC),"Digital Marketing, Mobile Apps, SEO, Web Design, Web Development, Web Hosting",,,,,,"Apps, Design, Internet Services, Mobile, Sales and Marketing, Software",,,19,,,2005-01-01,year,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exa.io,https://www.crunchbase.com/organization/exa-io,"Hidd, Al Hadd, Bahrain",EXA.io is a cloud based rendering company providing up to 112.7x faster speeds.,"592,403",info@exa.io,+973 3633 3741,,http://www.linkedin.com/company/exa-io,http://www.facebook.com/www.Exa.io,http://twitter.com/exa_io,http://www.exa.io,For Profit,"Ibrahim MOKDAD, Mohamed Sheikhaldeen, Zakaria Ben Hamouche",1-10,Gulf Cooperation Council (GCC),"3D Technology, Information Technology, Software",,,,685,"5,269,441","Hardware, Information Technology, Software",Less than $1M,117.46%,9,,3,2011-09-13,day,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-17.47%,1,,,,,,,
Computer World,https://www.crunchbase.com/organization/computer-world-7c59,"Manama, Al Manamah, Bahrain","Computer World is an organization providing IT consulting, solutions & next-generation service to customers in Bahrain & Saudi Arabia","601,902",communique@cwbah.com,+973 1758 3883,"Computer World is an innovative organization providing IT consulting, solutions & next-generation service to customers in Bahrain & Saudi Arabia. Computer World through its experienced business and technology domain specialists, making a distinctive, lasting and substantial improvement in business productivity as well as helping their customers to achieve strategic information technology objectives to stay a step ahead of emerging business trends and outperform the competition.  With more than 250+ customers and 32 years in technology enablement services, we share with their customers their experience, knowledge and learning's gathered over the years to deliver a cost effective, comprehensive end-to-end next generation solutions backed with unparalleled services.",https://www.linkedin.com/company/computer-world-wll/,https://www.facebook.com/pg/Compworld/,https://twitter.com/cwbah,http://www.cwbah.com,For Profit,,101-250,Gulf Cooperation Council (GCC),Information Technology,,2,,119,"6,536,427",Information Technology,,20.2%,22,,,1980-01-01,year,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83%,7,,,,,,,
THINK UP,https://www.crunchbase.com/organization/think-up,"Manama, Al Manamah, Bahrain",THINK UP provides information technology services.,"602,022",,973-3800-0398,,https://www.linkedin.com/company/think-up-technologies/,https://www.facebook.com/thinkup.bh/,,https://www.thinkup-bh.com/,For Profit,,1-10,Gulf Cooperation Council (GCC),"Information Services, Information Technology",,,,,,Information Technology,,,8,,,2018-08-23,day,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weetas Real Estate,https://www.crunchbase.com/organization/weetas-real-estate,"Sitrah, Sitrah, Bahrain",Bahrain's #1 real estate website.,"602,394",info@weetas.com,+973 178 20 800,"As Bahrain's number 1 real estate website, Weetas gives you the ability to search and locate all the types of properties you would be looking for in the Kingdom of Bahrain with variant price ranges and specifications (area, number of bedrooms, services, amenities, etc) that are guaranteed to meet your financial abilities and needs. No matter which type of property you need to buy or rent (apartments, villas, buildings, or lands) and no matter which city you would like to live in or to invest in, make sure that our daily-updated listings will include what you are seeking.",,,,https://www.weetas.com/,For Profit,,11-50,Gulf Cooperation Council (GCC),Real Estate,,,,"15,919","997,414",Real Estate,$1M to $10M,39.82%,13,,,2007-01-01,year,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-16.3%,1.76,,,,,,,
4SPOTS,https://www.crunchbase.com/organization/4spots,"Hidd, Al Hadd, Bahrain","4SPOTS is an online consultancy firm that offers online solutions including web design, social media, digital marketing solutions.","609,026",newbiz@4spots.com,+973-36477687,,https://www.linkedin.com/company/4spots,https://www.facebook.com/4SPOTS/,https://twitter.com/4spots,https://4spots.com,For Profit,,51-100,Gulf Cooperation Council (GCC),"Advertising, Digital Marketing, Internet, Mobile Apps, Social Media, Web Design",,,,376,"5,884,402","Advertising, Apps, Design, Internet Services, Media and Entertainment, Mobile, Sales and Marketing, Software",,32.39%,41,3,,2006-01-01,year,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.21%,1,0,,,,,,
Visit Bahrain,https://www.crunchbase.com/organization/visit-bahrain,"Manama, Al Manamah, Bahrain",Visit Bahrain promotes tourism and provides hospitality services.,"611,253",hello@VisitBahrain.bh,973 17221166,,https://www.linkedin.com/company/visit-bahrain/,https://www.facebook.com/VisitBahrainBH/,https://twitter.com/VisitBahrainBH/,https://visitbahrain.bh/,For Profit,,11-50,Gulf Cooperation Council (GCC),"Leisure, Tourism, Travel",,,,,,"Community and Lifestyle, Travel and Tourism",$1M to $10M,,9,,,2016-01-01,year,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aluminium Bahrain,https://www.crunchbase.com/organization/aluminium-bahrain-31e4,"Isa, Madinat, Bahrain","Aluminium Bahrain is a company which are into extraction of aluminium from oxide, alumina.","618,630",contactpr@alba.com.bh,+973 1783 0000,,https://www.linkedin.com/company/aluminium-bahrain/,https://www.facebook.com/Alba4World,https://twitter.com/Alba4World,http://www.albasmelter.com,For Profit,,1001-5000,Gulf Cooperation Council (GCC),"Mineral, Mining",,,,"1,726","4,202,892",Natural Resources,,185.29%,21,,,1971-01-01,year,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15.88%,1.74,,,,,,,
Elephant Social,https://www.crunchbase.com/organization/elephant-social,"Manama, Al Manamah, Bahrain",Social Media Markert in an App - offering a Saas solution to SME's at a price unheard of.,"618,742",crunchbase@elephant.social,0097336996648,,,https://facebook.com/elephantsocials,https://twitter.com/elephantsocials,https://www.elephant.social,For Profit,,11-50,Gulf Cooperation Council (GCC),"Social Media, Social Media Advertising, Social Media Management, Social Media Marketing, Social News",,1,,,,"Advertising, Internet Services, Media and Entertainment, Sales and Marketing",,,27,,,2017-01-01,year,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Souq Al Manama Online,https://www.crunchbase.com/organization/souq-al-manama-online,"Manama, Al Manamah, Bahrain","Developing a procedural and technological solution that accelerates retail, inventory and delivery processes in a an innovative way.","621,725",info@souqalmanama.com,+973 17 305 406,"Souq Al Manama Online Co. W.L.L. is an information technology service provider based in the Bahrain Financial Harbour, Kingdom of Bahrain. We develop modern e-commerce platforms with advanced logistical functionalities to support small and medium enterprises. The name “Souq Al Manama” (Arabic: سوق المنامة‎) means the market of Manama, which refers to the old bazaar of Bahrain’s capital. It lies in the north of Manama, in-between the old parts of the city and the Central Business District, and its main entrance is the historic Bab Al Bahrain gate which our logo is also inspired by. We are proud to promote the Bahraini culture, and we aim to merchandise local products globally.",https://www.linkedin.com/company/souqalmanama,https://www.facebook.com/souqalmanama,https://twitter.com/souqalmanama,https://www.souqalmanama.com,For Profit,,1-10,Gulf Cooperation Council (GCC),"E-Commerce, Information Technology, Software",,,,,,"Commerce and Shopping, Information Technology, Software",,,,,,2020-06-01,month,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gulf One Capital,https://www.crunchbase.com/organization/gulf-one-capital,"Manama, Al Manamah, Bahrain","Gulf One Capital is an investment firm that provides business development services to the manufacturing, aviation and leasing sectors.","629,207",,,,https://www.linkedin.com/company/gulf-one-capital/,,,https://www.gulf1bank.com,For Profit,,11-50,Gulf Cooperation Council (GCC),"Air Transportation, Leasing, Venture Capital",,,,,,"Financial Services, Lending and Investments, Transportation",$1M to $10M,,14,,,2006-01-01,year,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Sky Software WLL,https://www.crunchbase.com/organization/red-sky-software-wll,"Manama, Al Manamah, Bahrain",Redsky Software is a Web & Mobile App Development Company in Bahrain,"632,668",info@redskysoftware.net,+973 17540303,Redsky Software is a Web & Mobile App Development Company in Bahrain owned by MBA Fakhro Group is a leading Software Development Company in Bahrain specializing in the business of providing IT software related products and services to its clients all across the globe with Head office in  Bahrain and two software development center in India.,https://bh.linkedin.com/company/redsky-software-wll,https://www.facebook.com/redskysoftware/,https://twitter.com/RedSky_Software,https://redskysoftware.net/,For Profit,,101-250,Gulf Cooperation Council (GCC),"Consulting, Information Services, Information Technology, Mobile, Mobile Apps, Software, Web Design, Web Development",,,,,,"Apps, Design, Information Technology, Mobile, Professional Services, Software",,,,,,2004-01-01,year,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
henlo,https://www.crunchbase.com/organization/aegait,"Manama, Al Manamah, Bahrain","Connecting pet owners with pet lovers, when they're busy or away.","635,558",media@gethenlo.com,,,https://www.linkedin.com/company/gethenlo/,https://www.facebook.com/gethenlo/,https://twitter.com/gethenlo,https://www.gethenlo.com/,For Profit,Louay Malas,1-10,Gulf Cooperation Council (GCC),"Apps, Consumer, E-Commerce, Internet, Pet",,,,,,"Apps, Commerce and Shopping, Community and Lifestyle, Internet Services, Other, Software",,,43,,1,2018-06-01,month,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citipal,https://www.crunchbase.com/organization/citipal,"Manama, Al Manamah, Bahrain",Useful tools for our daily life.!,"636,588",support@iba-apps.com,+971555011331,"Sometimes, small little things can make big difference. Citipal idea is to make life easier. It's meant to solve big hassles with simple smartphone app tools. For example; - Keeping important receipts and find them easily when you want them, - Offloading your wallet from all those cards that you don't always need, and rather find them in the app when you need them, - and more.!",https://www.linkedin.com/company/iba-intelligent-business-applications-,https://www.facebook.com/MyCitipal/,https://twitter.com/MyCitipal,http://www.citipal.co/,For Profit,Alaa Masoud,11-50,Gulf Cooperation Council (GCC),"Local Business, Productivity Tools",,,,,,"Sales and Marketing, Software",,,6,5,1,2016-06-01,day,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,20,,,,,,
24x7Rooms,https://www.crunchbase.com/organization/24x7rooms,"Manama, Al Manamah, Bahrain",24x7rooms.com is an exclusive worldwide hotel reservation system committed to quality in all aspects of the products and services.,"641,291",operations@24x7rooms.com,+97317216411,,https://www.linkedin.com/company/24x7rooms,https://www.facebook.com/24x7rooms.Twentyfourxsevenrooms/,https://twitter.com/24x7rooms,http://www.24x7rooms.com,For Profit,Mushtak Duduke,51-100,Gulf Cooperation Council (GCC),Travel Agency,,3,,228,"6,984,823",Travel and Tourism,$10M to $50M,-86.49%,40,,1,2013-08-20,day,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.04%,1,,,,,,,
Euronet Middle East W.L.L,https://www.crunchbase.com/organization/euronet-middle-east-w-l-l,"Manama, Al Manamah, Bahrain","Euronet Middle East W.L.L  is an Information Technology and Services company located in Manama, Bahrain.","647,851",,,,https://www.linkedin.com/company/euronet-middle-east-w-l-l/,,,https://www.euronetmiddleeast.com/,For Profit,,1-10,Gulf Cooperation Council (GCC),Information Technology,,,,,,Information Technology,$1M to $10M,,2,,,,,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Etisalcom,https://www.crunchbase.com/organization/etisalcom,"Manama, Al Manamah, Bahrain","Etisalcom is Bahrain’s Information technology and communications (ICT) company, offering value-added and innovative services.","647,885",info@etisalcom.com,+1 973 1330 1330,"Etisalcom is a communications provider of next generation voice, video and data services, Etisalcom is committed to deliver innovative and customized solutions that will drive businesses into the future.They are developing all facets of the telecommunications and IT licensed services; ISL, VAS, NFL, ISP, IFL. Having already launched a host of VoIP services with an enviable market share, they are now forging ahead with the introduction of competitive new ICT services.",https://www.linkedin.com/company/etisalcom-bahrain-w.l.l/,https://www.facebook.com/EtisalcomBahrain/,https://twitter.com/etisalcom?lang=en,https://www.etisalcom.com/,For Profit,,11-50,Gulf Cooperation Council (GCC),"Internet, Telecommunications, VoIP, Wired Telecommunications, Wireless",,,,"16,078","992,366","Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Mobile",$1M to $10M,76%,75,5,,2005-01-01,year,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-27.01%,4.33,0,,,,,,
Gulf CX,https://www.crunchbase.com/organization/gulf-cx,"Al Manama, Al Manamah, Bahrain","Gulf CX provides customer center operations, automation & AI, customer experience consulting and customer engagement technologies services.","659,791",info@gulfcx.com,+973-16670000,,https://www.linkedin.com/company/gulf-customer-experience-gcx-/,https://www.facebook.com/gulfcx,https://twitter.com/gulfcx,https://www.gulfcx.com,For Profit,,101-250,Gulf Cooperation Council (GCC),"Artificial Intelligence, Consulting, Outsourcing",,,,,,"Artificial Intelligence, Data and Analytics, Professional Services, Science and Engineering, Software",,,,,,2015-01-01,year,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mideast Tunes,https://www.crunchbase.com/organization/mideast-tunes,"Manama, Al Manamah, Bahrain",The platform to discover underground musicians in the Middle East and North Africa.,"667,289",info@mideastunes.com,,,,https://www.facebook.com/mideastunes,https://twitter.com/mideastunes,http://mideastunes.com/,For Profit,,1-10,Gulf Cooperation Council (GCC),Music,,,,12,"6,747,841","Media and Entertainment, Music and Audio",Less than $1M,-97.01%,66,,,2010-02-01,day,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.24%,1,157,,,,,,
Gulf Venture Capital Association,https://www.crunchbase.com/organization/gulf-venture-capital-association,"Manama, Al Manamah, Bahrain",GVCA is a non-profit trade and industry association for Venture Capital (VC) and Private Equity (PE).,"671,684",,,"GVCA is a non-profit trade and industry association for Venture Capital (VC) and Private Equity (PE). GVCA's role is to promote a risk-taking investment culture, develop skills and provide information on VC/PE industry. GVCA will organize conferences, industry-focused technology forums, training and workshops. In addition, GVCA will become a learning organization where members can share experiences and address issues of common interest. Venture Capital (VC) is the equity financing of unquoted companies ranging from small early stage to large management buy-outs. Others define VC as private, corporate or public funds that focus on investments in early stage technology based companies. VC is described as the ""business of building business."" VC has a particular emphasis on entrepreneurial undertakings and less mature business. It is classified into four types; Seed stage, startup stage, expansion stage and replacement capital. Private Equity (PE) is the use of equity capital for entities not publicly traded. It can be used to develop new products and technologies, expand working capital, make acquisitions or strengthen a company's balance sheet. It can also resolve ownership and management issues- a succession in family-owned companies, or buy-in or buy-out of a business by experienced managers. PE investment is typically a transformational, value added and active investment strategy. GVCA will cover several aspects of the VC/PE industry such as trends and strategies, legal/fiscal policies and regulations, investment models, management of fund raising and structures, technology evaluation and valuation, contracts and control rights, information/studies, early-stage funding and corporate venture capital, among others. Members in GVCA include VC/PE companies, corporations, financial institutions and consultants, and technology development organizations, among others.",,,,,Non-profit,,,Gulf Cooperation Council (GCC),"Association, Non Profit",,1,,,,Other,,,,,,2005-02-17,day,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sinnad,https://www.crunchbase.com/organization/sinnad,"Manama, Al Manamah, Bahrain","Sinnad specializes in financial services and deals with card processing, electronic banking systems, project management & digital payments.","673,436",info@sinnad.com.bh,+973-1750-8888,,https://www.linkedin.com/company/sinnad.bh/,,,https://sinnad.com.bh/,For Profit,,11-50,Gulf Cooperation Council (GCC),"Banking, Credit Cards, Financial Services",,1,,"3,184","2,681,655","Financial Services, Lending and Investments, Payments",$10M to $50M,"318,300%",37,,,2008-01-01,year,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-60.89%,1,,,,,,,
Shariyah Review Bureau,https://www.crunchbase.com/organization/shariyah-review-bureau,"Manama, Al Manamah, Bahrain","Shariyah Review Bureau offers private equity screening, express certification, sharia assurance, internal & external sharia audit services.","681,283",,+973-1-721-5898,,https://www.linkedin.com/company/shariyah-review-bureau,https://www.facebook.com/shariyahreviewbureau,https://twitter.com/shariyahreview,https://shariyah.net/,For Profit,,11-50,Gulf Cooperation Council (GCC),"Consulting, Financial Services, Professional Services",,,,"3,657","2,421,924","Financial Services, Other, Professional Services",,"1,608.88%",,,,2005-01-01,year,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-60.71%,2.67,,,,,,,
Ahme Design,https://www.crunchbase.com/organization/ahme-design,"Manama, Al Manamah, Bahrain","Ahmed Design is a digital agency that specialties in web design & development, mobile solutions, identity, SEO, and social media.","682,931",info@ahmeddesign.me,+973 17671211,,https://www.linkedin.com/company/ahme-design/,,,https://www.ahmeddesign.me/,For Profit,,1-10,Gulf Cooperation Council (GCC),"SEO, Social Media, Software, Web Design, Web Development",,,,,,"Design, Internet Services, Media and Entertainment, Sales and Marketing, Software",,,25,,,2011-01-01,year,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akalati,https://www.crunchbase.com/organization/akalati,"Manama, Al Manamah, Bahrain",Akalati is a pioneer startup in digitizing the custom orders for the F&B industry without eliminating any customizing capabilities.,"684,190",info@akalati.com,973 33557793,"Akalati is a simplify online ordering for all custom orders, starting from simple birthday cake, weekly office lunch plans, all the way to huge wedding buffets.",,https://www.facebook.com/pg/akalatiapp,https://twitter.com/akalatiapp/,https://akalati.com/,For Profit,,1-10,Gulf Cooperation Council (GCC),"E-Commerce, Food and Beverage",,,,,,"Commerce and Shopping, Food and Beverage",,,29,,,2018-01-01,year,Active,,,,,,Seed,1,2019-11-20,,,,,,,Seed,,,,Seed,,,,500 Startups,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Almoayed Group,https://www.crunchbase.com/organization/almoayed-group,"Al Manama, Al Manamah, Bahrain",Almoayed Group is an IT and Telecommunications solution provider.,"686,170",,973 17 828 828,"Almoayed Group is an Information Technology (IT) and Telecommunications (Telecom) solution provider, headquartered in the Kingdom of Bahrain. They are committed towards providing the highest quality of services and solutions to their clients and have Sales & Support offices throughout the Middle East and Africa. They are strengthening their existing core competencies as well as investing in the development of new capabilities to meet new requirements. They are investing heavily in their employees, internal processes and business systems so that they can be better prepared to serve their customers needs.Almoayed Group was established in 1982 by Mr. Nabeel Almoayed with the following vision in mind:To become a truly global IT and Telecommunications Solutions Provider - committed to best value services and solutions.""This vision has come to be the sole objective of the Group, with each associate of the Group working towards the goal to provide better products, efficient solutions and flawless support to their respective customers.",https://www.linkedin.com/company/almoayed-group/?originalSubdomain=in,,,http://www.almoayedict.com/,For Profit,Nabeel Almoayed,,Gulf Cooperation Council (GCC),"Information Technology, Telecommunications",,,,,,"Hardware, Information Technology",,,7,,1,1983-01-01,year,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Worksmart,https://www.crunchbase.com/organization/worksmart-2fb8,"Manama, Al Manamah, Bahrain",Worksmart Events is specialized events development and management company.,"693,127",info@worksmartbh.com,+973 1771 7200,"Worksmart Events is specialized events development and management company that provides a comprehensive service to a wide range of clients across a variety of event activities at the local, regional and international levels. The WorkSmart Events team provides an expert, independent, and creative tips in understanding the client’s event objectives then recommend an optimal balanced event solution, and finally manage all aspects of an event’s activation.",https://www.linkedin.com/company/worksmartevents/,https://www.facebook.com/WORKSMARTEvents/,https://twitter.com/worksmartevents,http://worksmart.bh/,For Profit,,11-50,Gulf Cooperation Council (GCC),Events,,,,,,"Events, Media and Entertainment",$1M to $10M,,26,,,,,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
VII Tech Solutions,https://www.crunchbase.com/organization/vii-tech-solutions,"Manama, Al Manamah, Bahrain",VII Tech Solutions is an information technology company.,"697,959",,973-17-594425,,https://www.linkedin.com/company/vii-tech-solutions/,http://www.facebook.com/viitech,http://twitter.com/viitech,http://viitech.net,For Profit,,11-50,Gulf Cooperation Council (GCC),"Internet, Software, Web Design",,,,,,"Design, Internet Services, Software",,,68,,,2008-01-01,day,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabric Digital,https://www.crunchbase.com/organization/fabric-digital-af83,"Manama, Al Manamah, Bahrain",Fabric Digital is an interactive digital and marketing agency specializing in building websites and mobile apps.,"727,815",info@fabricit.com,973.3444.7525,,https://www.linkedin.com/company/fabric-digital,https://www.facebook.com/FabricDigital/,,https://fabricit.com/,For Profit,,1-10,Gulf Cooperation Council (GCC),"Information Technology, Marketing, Web Design",,,,127,"7,248,188","Design, Information Technology, Sales and Marketing",,,47,,,2011-01-01,day,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Yuppi,https://www.crunchbase.com/organization/paperv,"Manama, Al Manamah, Bahrain",Yuppi is a Live Crowd Sharing App that allows people to Share Real Time Moments Together.,"728,398",alim@paperv.com,,"Yuppi is a Live Crowd Sharing App that allows people to Share Real Time Moments Together.  We identified three main problems: - Complexity - Integration - Invisibility We Built Yuppi to be cool & simple, How Humans Experience Life: - Different People Share Different Things Into Live Stories. - Location based Visual Story Telling - Sharing The Full Story & Being Part of Events - Taking engagement to the Next Level",http://www.linkedin.com/company/paperv,http://www.facebook.com/yuppiapp,http://twitter.com/appyuppi,http://www.yuppi.co,For Profit,"Ali Ashoor, Ali Mohsen, Hamad Fuad",1-10,Gulf Cooperation Council (GCC),"Digital Media, Internet, Mobile, Printing, Social Media",,,,,,"Content and Publishing, Internet Services, Media and Entertainment, Mobile",Less than $1M,,1,,3,2013-01-01,year,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
